110,900,0.1138615
121,122,0.2513497
121,229,0.4430247
121,236,0.2526922
121,284,0.2220348
122,123,0.2235211
122,124,0.1783488
122,234,0.2237521
123,124,0.2303863
124,183,0.4693936
124,187,0.4837115
130,900,0.0659123
140,142,0.0419783
140,143,0.0432719
140,151,0.0760532
140,156,0.051311
141,144,0.0392807
141,171,0.0849816
142,143,0.0450755
142,144,0.0322607
142,156,0.0412052
142,180,0.0643981
143,147,0.0804348
143,148,0.0602572
145,146,0.0945436
145,155,0.0410297
145,920,0.0692939
145,940,0.2410136
146,150,0.1286174
146,155,0.1174729
146,156,0.1191886
146,194,0.0375575
147,148,0.2023645
147,153,0.1257137
149,157,0.0905307
149,165,0.0743108
149,900,0.1485974
149,920,0.1644216
149,940,0.2091803
150,157,0.0629956
151,155,0.0793639
152,153,0.0602243
152,920,0.0640053
152,940,0.2260088
153,154,0.0593821
153,155,0.0487706
154,172,0.1051033
156,180,0.0704418
156,191,0.026611
160,161,0.1634499
160,163,0.083233
160,184,0.2806684
160,186,0.3367259
161,163,0.0901557
162,163,0.0279106
162,920,0.2514066
163,900,0.2599778
165,900,0.0894346
170,171,0.0543586
170,173,0.0593764
170,282,0.0685847
170,283,0.0764768
171,173,0.0622464
171,174,0.0757111
171,181,0.0667679
171,182,0.0664114
172,173,0.093212
172,282,0.0568333
174,182,0.0825063
174,284,0.0992058
180,185,0.02931
181,182,0.0468043
181,183,0.042469
181,185,0.0499165
183,187,0.0255642
184,185,0.0319776
184,186,0.0651166
184,192,0.1587939
185,186,0.0645372
185,191,0.0661484
186,187,0.0687147
190,191,0.0318421
190,192,0.03375
190,193,0.0574359
190,900,0.0671554
191,193,0.0484615
191,194,0.014359
193,194,0.03875
193,900,0.1109908
200,230,1.04071
200,232,1.074489
200,920,1.451931
201,202,0.0705608
201,236,0.1002373
201,260,0.084153
201,284,0.117135
202,203,0.0842192
202,284,0.0835446
203,260,0.0810818
203,286,0.0902154
210,211,0.3380556
210,212,0.4871555
210,224,0.3727007
211,224,0.400708
212,214,0.1438673
212,237,0.2620533
213,214,0.1909611
213,215,0.1168719
213,230,0.2853171
214,233,0.4169424
215,940,0.6151685
220,228,0.1875886
220,230,0.2946859
220,233,0.2524163
221,225,0.2368542
221,229,0.4623165
221,231,0.3584923
221,236,0.2420988
221,260,0.1966188
222,223,0.2587698
222,226,0.2274331
222,231,0.3564323
222,279,0.2253627
222,290,0.2524453
222,291,0.3013497
